title,longitude,latitude,coord_type,metrotype,type2,category,category_en,url,ak,geotable_id
沙滩路口北,116.41316,39.93149,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289532.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
小经厂,116.41127,39.9472,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289909.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东官房,116.39178,39.93951,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289005.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
交道口南,116.41497,39.94531,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289836.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北池子北口,116.40895,39.92886,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station294864.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
沙滩路口南,116.41275,39.92957,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288811.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
铸钟厂,116.39744,39.94842,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288835.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
美术馆北,116.41727,39.93213,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289891.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
美术馆,116.41604,39.9306,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289875.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
交道口东,116.41558,39.94708,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289908.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北海,116.39515,39.92878,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289867.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北海(南),116.39744,39.92761,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288830.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
美术馆东,116.41804,39.93059,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289864.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
张自忠路,116.42188,39.93976,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289000.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
厂桥路口东,116.38743,39.9392,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289006.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北京妇产医院,116.41287,39.9266,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288810.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
方家胡同,116.41485,39.94997,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289835.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
厂桥路口西,116.38619,39.9391,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289020.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
魏家胡同,116.42368,39.93813,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289903.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
德内甘水桥,116.39414,39.95073,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288836.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东四十二条,116.4235,39.94151,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288999.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
刘海胡同,116.38606,39.94386,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289499.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
钱粮胡同,116.42384,39.93382,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289902.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北新桥路口西,116.4216,39.94707,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289907.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
后库,116.38559,39.93394,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289036.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北新桥路口南,116.42333,39.94563,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289904.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
鼓楼桥南,116.40022,39.95459,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289535.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北京四中,116.38353,39.93726,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289395.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
灯市西口,116.41738,39.92537,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289876.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
安定门内,116.41471,39.95338,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289834.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北新桥,116.42327,39.9472,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295192.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东四,116.42391,39.93069,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295193.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北新桥路口北,116.42325,39.9479,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288998.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
府右街,116.38826,39.92723,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289034.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
鼓楼大街,116.39996,39.95536,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295149.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
西安门,116.38667,39.9287,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289035.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
蒋养房,116.3857,39.94748,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289498.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东四路口南,116.42399,39.92983,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289901.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东四路口东,116.4246,39.93065,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289863.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北京三十九中学,116.38366,39.93232,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289037.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
故宫东门,116.40932,39.92154,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station294865.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
安定门,116.41469,39.95441,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station290052.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
安定门西,116.41244,39.95527,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289408.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
