title,longitude,latitude,coord_type,metrotype2,metrotype,rgcurl,ak,geotable_id,poiID
"北宫门",116.28399,40.008678,33,12,2,http://bj.bendibao.com/ditie/zdbeigongmen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968210
"上地",116.326836,40.038699,9,11,1,http://bj.bendibao.com/ditie/zdshangdi.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968229
"西小口",116.358213,40.052716,32,10,2,http://bj.bendibao.com/ditie/zdxixiaokou.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968240
"丰台南路",116.302854,39.847201,8,11,2,http://bj.bendibao.com/ditie/zdfengtainanlu.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968251
"立水桥",116.418274,40.059244,36,10,1,http://bj.bendibao.com/ditie/zdlishuiqiao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968264
"传媒大学",116.561375,39.915197,11,11,3,http://bj.bendibao.com/ditie/zdchuanmeidaxue.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968272
"新宫",116.372097,39.818302,34,10,2,http://bj.bendibao.com/ditie/zdxingong.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968288
"科怡路",116.303808,39.838664,10,12,2,http://bj.bendibao.com/ditie/zdkeyilu.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968297
"安河桥北",116.276432,40.018657,38,12,3,http://bj.bendibao.com/ditie/zdanheqiaobei.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968309
"八宝山",116.242277,39.913185,13,10,2,http://bj.bendibao.com/ditie/zdbabaoshan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968323
"褡裢坡",116.570223,39.929826,37,10,3,http://bj.bendibao.com/ditie/zddalianpo.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968330
"马泉营",116.509638,40.039847,12,10,2,http://bj.bendibao.com/ditie/zdmaquanying.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968341
"郭庄子",116.259835,39.870755,40,10,2,http://bj.bendibao.com/ditie/zdguozhuangzi.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968354
"丰台科技园",116.303639,39.831449,15,12,1,http://bj.bendibao.com/ditie/zdfengtaikejiyuan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968363
"育新",116.353997,40.066124,39,11,1,http://bj.bendibao.com/ditie/zdyuxin.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968372
"天通苑南",116.419113,40.072752,14,10,2,http://bj.bendibao.com/ditie/zdtiantongyuannan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968386
"旧宫",116.467432,39.812543,10,12,2,http://bj.bendibao.com/ditie/zdjiugong.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968402
"郭公庄",116.303039,39.824182,35,11,2,http://bj.bendibao.com/ditie/zdguogongzhuang.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968411
"黄渠",116.584917,39.929937,9,10,3,http://bj.bendibao.com/ditie/zdhuangqu.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968421
"双桥",116.583332,39.915885,34,10,1,http://bj.bendibao.com/ditie/zdshuangqiao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968432
"西二旗",116.312615,40.058922,12,10,1,http://bj.bendibao.com/ditie/zdxierqi.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968436
"霍营",116.366721,40.077129,37,12,3,http://bj.bendibao.com/ditie/zdhuoying.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968451
"大瓦窑",116.246953,39.865215,11,11,3,http://bj.bendibao.com/ditie/zddawayao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968458
"天通苑",116.419233,40.081478,36,11,3,http://bj.bendibao.com/ditie/zdtiantongyuan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968468
"亦庄桥",116.486851,39.808826,14,11,1,http://bj.bendibao.com/ditie/zdyizhuangqiao.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968476
"亦庄文化园",116.49701,39.812839,40,12,2,http://bj.bendibao.com/ditie/zdyizhuangwenhuayuan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968494
"八角游乐园",116.21939,39.913076,13,11,2,http://bj.bendibao.com/ditie/zdbajiaoyouleyuan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968509
"回龙观",116.34232,40.076428,39,10,2,http://bj.bendibao.com/ditie/zdhuilongguan.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968523
"大葆台",116.29816,39.814112,16,10,1,http://bj.bendibao.com/ditie/zddabaotai.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968532
"回龙观东大街",116.369307,40.086017,42,12,3,http://bj.bendibao.com/ditie/zdhuilongguandongdajie.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968545
"龙泽",116.326173,40.076647,15,12,2,http://bj.bendibao.com/ditie/zdlongze.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968551
"天通苑北",116.419385,40.089597,41,10,1,http://bj.bendibao.com/ditie/zdtiantongyuanbei.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968567
"西红门",116.335169,39.795445,51,10,1,http://bj.bendibao.com/ditie/zdxihongmen.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968578
"万源街",116.511928,39.809251,26,10,3,http://bj.bendibao.com/ditie/zdwanyuanjie.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968589
"孙河",116.54104,40.051264,50,12,1,http://bj.bendibao.com/ditie/zdsunhe.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968601
"常营",116.605447,39.93151,25,11,3,http://bj.bendibao.com/ditie/zdchangying.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968616
"管庄",116.605782,39.914907,3,12,2,http://bj.bendibao.com/ditie/zdguanzhuang.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968630
"平西府",116.357247,40.095792,29,12,1,http://bj.bendibao.com/ditie/zdpingxifu.shtml,Ow5fqi6DQXmgD5PGSB7QBdHF,106989,933968643
