title,longitude,latitude,coord_type,type2,weight2,url,ak,geotable_id
东棉花胡同,116.415031,39.941996,3,1,1,http://bj.bendibao.com/jingdian/dongmianhuahutong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
府学胡同,116.415185,39.941997,3,2,8,http://bj.bendibao.com/jingdian/fuxuehutong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
后海,116.398628,39.946041,3,2,10,http://bj.bendibao.com/jingdian/houhai/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
景山公园,116.403181,39.929928,3,0,6,http://bj.bendibao.com/jingdian/jingshangongyuan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
陶泥人DIY软陶体验,116.410397,39.946304,3,3,7,http://bj.bendibao.com/jingdian/taonirenDIYruantaotiyan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
贤良祠,116.393239,39.939693,3,0,5,http://bj.bendibao.com/jingdian/xianliangci/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
紫禁城角楼,116.409663,39.930424,3,1,5,http://bj.bendibao.com/jingdian/zijinchengjiaolou/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
漪澜堂,116.395358,39.932771,3,1,5,http://bj.bendibao.com/jingdian/yilantang/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
新文化运动纪念馆,116.411697,39.930945,3,2,0,http://bj.bendibao.com/jingdian/xinwenhuayundongjinianguan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
萧军故居,116.398327,39.946635,3,0,9,http://bj.bendibao.com/jingdian/xiaojunguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
新文化博物馆,116.411735,39.930765,3,2,7,http://bj.bendibao.com/jingdian/xinwenhuabowuguan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
顺天府学,116.416278,39.942162,3,0,8,http://bj.bendibao.com/jingdian/shuntianfuxue/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
北海植物园,116.392289,39.93795,3,3,8,http://bj.bendibao.com/jingdian/beihaizhiwuyuan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
文天祥祠,116.416589,39.942148,3,1,8,http://bj.bendibao.com/jingdian/wentianxiangci/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
大高玄殿,116.39963,39.929707,3,2,9,http://bj.bendibao.com/jingdian/dagaoxuandian/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
恭王府,116.392852,39.942037,3,0,8,http://bj.bendibao.com/jingdian/gongwangfu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
孙中山行宫,116.417401,39.939963,3,3,7,http://bj.bendibao.com/jingdian/sunzhongshanxinggong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
五龙亭,116.392322,39.936291,3,3,9,http://bj.bendibao.com/jingdian/beihaiwulongting/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
荣禄故居,116.413944,39.945557,3,3,8,http://bj.bendibao.com/jingdian/rongluguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
神武门,116.403236,39.928689,3,1,9,http://bj.bendibao.com/jingdian/shenwumen/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
梅府家宴,116.394768,39.945066,3,3,1,http://bj.bendibao.com/jingdian/meifujiayan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
小经厂胡同,116.41161,39.947186,3,3,4,http://bj.bendibao.com/jingdian/xiaojingchanghutong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
婉容故居,116.415471,39.932619,3,2,7,http://bj.bendibao.com/jingdian/wanrongguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
宣仁庙,116.409114,39.928884,3,0,4,http://bj.bendibao.com/jingdian/xuanrenmiao/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
荣禄故宅,116.413966,39.946165,3,3,0,http://bj.bendibao.com/jingdian/rongluguzhai/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
广化寺庙,116.39693,39.94732,3,2,6,http://bj.bendibao.com/jingdian/guanghuasimiao/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
广茗阁大逗相声,116.397664,39.948364,3,1,1,http://bj.bendibao.com/jingdian/guangminggedadouxiangsheng/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
嘻哈包袱铺,116.397647,39.948412,3,0,0,http://bj.bendibao.com/jingdian/xihabaofupu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
文津街,116.397376,39.928875,3,1,2,http://bj.bendibao.com/jingdian/wenjinjie/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
顺天府大堂,116.413137,39.947963,3,0,1,http://bj.bendibao.com/jingdian/shuntianfudatang/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
中国美术馆,116.415497,39.930879,3,2,1,http://bj.bendibao.com/jingdian/zhongguomeishuguan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
杜聿明故居,116.41663,39.931719,3,0,1,http://bj.bendibao.com/jingdian/duyumingguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
涛贝勒府,116.391037,39.94324,3,0,10,http://bj.bendibao.com/jingdian/taobeilefu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
北海公园,116.396401,39.928815,3,3,10,http://bj.bendibao.com/jingdian/beihaigongyuan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
和敬公主府,116.420107,39.939914,3,2,0,http://bj.bendibao.com/jingdian/hejinggongzhufu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
团城,116.395727,39.928946,3,0,2,http://bj.bendibao.com/jingdian/tuancheng/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
承光殿,116.395731,39.928946,3,1,3,http://bj.bendibao.com/jingdian/chengguangdian/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
金炉圣母铸钟娘娘庙,116.399104,39.949839,3,0,10,http://bj.bendibao.com/jingdian/jinlushengmuzhuzhongniangniangmiao/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
欧阳予倩故居,116.420392,39.939907,3,1,8,http://bj.bendibao.com/jingdian/ouyangyuqianguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
美术馆街心公园,116.417271,39.930748,3,2,5,http://bj.bendibao.com/jingdian/meishuguanjiexingongyuan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
鸦儿胡同,116.394694,39.948924,3,3,8,http://bj.bendibao.com/jingdian/yaerhutong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
段祺瑞执政府,116.421481,39.939949,3,1,4,http://bj.bendibao.com/jingdian/duanqiruizhizhengfu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
和亲王府,116.421489,39.939942,3,0,10,http://bj.bendibao.com/jingdian/heqinwangfu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
黎元洪故居,116.41684,39.928905,3,2,10,http://bj.bendibao.com/jingdian/liyuanhongguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
隆福寺,116.420333,39.932217,3,3,0,http://bj.bendibao.com/jingdian/longfusi/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
凝和庙,116.409356,39.92535,3,1,6,http://bj.bendibao.com/jingdian/ninghemiao/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
延寿堂,116.40036,39.925315,3,3,6,http://bj.bendibao.com/jingdian/yanshoutang/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
福佑寺,116.397676,39.925813,3,1,9,http://bj.bendibao.com/jingdian/fuyousi/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
田间故居,116.393463,39.949692,3,1,9,http://bj.bendibao.com/jingdian/tianjianguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
田汉故居,116.422041,39.943372,3,3,9,http://bj.bendibao.com/jingdian/tianhanguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
方家胡同,116.414923,39.95048,3,3,3,http://bj.bendibao.com/jingdian/fangjiahutong/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
庆亲王府,116.386443,39.941643,3,0,7,http://bj.bendibao.com/jingdian/qingqinwangfu/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
孟小冬故居,116.422532,39.933884,3,3,1,http://bj.bendibao.com/jingdian/mengxiaodongguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
董必武故居,116.397571,39.95207,3,2,2,http://bj.bendibao.com/jingdian/dongbiwuguju/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
北京人艺戏剧博物馆,116.417513,39.927923,3,2,5,http://bj.bendibao.com/jingdian/beijingrenyixijubowuguan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
梅兰芳纪念馆,116.385905,39.941657,3,2,4,http://bj.bendibao.com/jingdian/meilanfangjinianguan/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
首都剧场,116.418193,39.927867,3,2,2,http://bj.bendibao.com/jingdian/shoudujuchang/,Ow5fqi6DQXmgD5PGSB7QBdHF,106993
