title,longitude,latitude,coord_type,metrotype,type2,category,category_en,url,ak,geotable_id,poiID
"张自忠路",116.42188,39.93976,32,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289000.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934137977
"厂桥路口东",116.38743,39.9392,8,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289006.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138010
"北京妇产医院",116.41287,39.9266,31,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288810.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138029
"方家胡同",116.41485,39.94997,7,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289835.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138039
"厂桥路口西",116.38619,39.9391,35,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289020.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138054
"魏家胡同",116.42368,39.93813,10,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289903.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138070
"德内甘水桥",116.39414,39.95073,33,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288836.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138082
"东四十二条",116.4235,39.94151,9,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288999.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138105
"刘海胡同",116.38606,39.94386,37,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289499.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138122
"钱粮胡同",116.42384,39.93382,12,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289902.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138143
"北新桥路口西",116.4216,39.94707,36,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289907.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138167
"后库",116.38559,39.93394,11,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289036.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138182
"北新桥路口南",116.42333,39.94563,21,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289904.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138202
"鼓楼桥南",116.40022,39.95459,47,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289535.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138227
"北京四中",116.38353,39.93726,20,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289395.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138243
"灯市西口",116.41738,39.92537,46,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289876.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138259
"安定门内",116.41471,39.95338,24,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289834.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138267
"北新桥",116.42327,39.9472,49,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295192.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138278
"东四",116.42391,39.93069,22,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295193.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138288
"北新桥路口北",116.42325,39.9479,48,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288998.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138296
"府右街",116.38826,39.92723,26,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289034.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138306
"鼓楼大街",116.39996,39.95536,51,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295149.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138322
"西安门",116.38667,39.9287,25,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289035.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138335
"蒋养房",116.3857,39.94748,50,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289498.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138348
"东四路口南",116.42399,39.92983,28,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289901.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138361
"东四路口东",116.4246,39.93065,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289863.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138384
"北京三十九中学",116.38366,39.93232,27,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289037.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138396
"故宫东门",116.40932,39.92154,52,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station294865.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138402
"安定门",116.41469,39.95441,48,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station290052.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138408
"安定门西",116.41244,39.95527,23,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289408.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138418
"鼓楼桥西",116.39689,39.95527,47,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289409.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138429
"故宫西门(西华门)",116.39781,39.92109,22,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station294863.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138442
"果子市",116.38939,39.953,50,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288837.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138453
"东华门",116.4131,39.92097,25,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288809.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138462
"东安门大街西口",116.41537,39.92163,49,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station294874.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138474
"西华门",116.39786,39.9205,24,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288829.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138482
"平安里路口东",116.38,39.93859,52,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289839.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138494
"地兴居",116.4062,39.95785,28,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289244.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138515
"西黄城根",116.3838,39.92797,51,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289597.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138527
"平安里路口南",116.37957,39.93752,27,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289007.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934138538
